Cargo,Empresa,Local,Link
Python Developer / 100% Remote / USD payment / English...,Bloom Talent Partners,"Home office in Lauro de Freitas, BA",https://br.indeed.com/rc/clk?jk=89bb4a6997baa6f5&bb=Do3HZCkkzsHiSVScdVp4ittqndIBIxvR1NnN3IrzPd6sP_17N_uaeA_ud-30rOxDglsmyyC5IanyY7vut9XToG_JisqA0GworGOK3XeIAig%3D&xkcb=SoAr67M3DIsIrr2JRB0AbzkdCdPP&fccid=f5a8fac000367732&vjs=3
Pessoa desenvolvedora python | junior.,Netvagas,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=8bc7eedae2818866&bb=Do3HZCkkzsHiSVScdVp4iu2-7OQOilMtgJhDF-dpfz-NwdUncETraFMlwdDnMAu79VmmhX-wYqTPkpl25R0LnQ0PRaJxF80UTVaadC6eivs%3D&xkcb=SoCl67M3DIsIrr2JRB0HbzkdCdPP&fccid=248e71f02a698bfc&vjs=3
Desenvolvedora/Engenheira Python - Trabalho Remoto,BairesDev,"Home office in São Gonçalo, RJ",https://br.indeed.com/rc/clk?jk=c878a6d486fcccc2&bb=Do3HZCkkzsHiSVScdVp4ijae-IY_4ceia2eQXRaTeP_3bdzBpkxxXxwjI2d3MZXccu0y__NUdJQZhnA8hZOicYLPGFWXonrMcktaJUE4RqU%3D&xkcb=SoAR67M3DIsIrr2JRB0GbzkdCdPP&fccid=29707109e86166e5&vjs=3
Analista de Riscos Financeiros Senior,Vem Pra Vivo,"São Paulo, SP",https://br.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cf_yakpKn3tyR4502_HYqPvaCRhXjusEuhTDc_mYuNJFszQ8IaNIy8E08PuGbh09mXXkIso-2mAtwE_Y1gO9fkAgoSzceOEgvlQcfti_rXZaMytpSzJ-x_BuSid9L8zeG7UlFfnpNK8Uv6gXLhl2gLupIwVMX5-DILB902vmoS1aa33p-Gau_jlm8ylwqlXtBu_4KlYxSqkx5s9GQAb39W9mVR0_pA3wdyDJi-hLk2dw6njC2tfrWIgGJqYhorQDb1Z4YhbLIwoS8nHN0CSSZDHc0KT4jB6dGtF_ScAgMyOyjiu_4LXz3oqPMsaZLAqcAzc93F44O9Y3f2SMu-_wNQ5hG4ZTV5IBHdPW3-d3QrEEuwJcfWdqJyDbplMH7U6ANuV0fmOQwffKqfcVeWP6STDeZL5vSyO30ZLqcSrkLifJxS5nxOQVTyn_3L6NFOCw59vCVNEwJbLIF5voIOkswCyXCJXVktJjn5il4Hg5d6SRTHG0t6VFZmo2aLMRcG_aWfzQGVu_cy-bVduaOZYHSyGJQdPlDYgj2xOv-TOXWZ3YbKEm4MnDYmGoC9QwnC4G1xPg6cibZV_lbFUEG1tLf-_c2H4WXa0wGDS64Atvc9s4l7tq5LWECoYzOc09qBPNENVnF55LpOx2xnYryXeD_-&xkcb=SoB46_M3DIsIrr2JRB0FbzkdCdPP&camk=4HOcmqOLYrBSvABMxd55tA==&p=13&fvj=0&vjs=3
Cientista de Dados Python,GeekHunter,"Londrina, PR",https://br.indeed.com/rc/clk?jk=f22769ae0ec9cc39&bb=Do3HZCkkzsHiSVScdVp4irS4EQmaaEAPvgsQyKOsxK5chvMS3PadlOZ0k4SATBBU7nRb18wWTq8mNcxQtLERiZqCJkYNDQYjZXOIOaqp5ok%3D&xkcb=SoA467M3DIsIrr2JRB0EbzkdCdPP&fccid=9ba8dec3013c0c90&vjs=3
Analista de Sistemas - Tecnologia,Grupo Scopo,"Home office in Natal, RN",https://br.indeed.com/rc/clk?jk=0ef9ee0384195889&bb=VWM9P-iLiXROInjppabyCxeD05Gt5fSc8eNINpPlSHArAv66zcX82_wmsal14_C2EJ2mwzF1mfj9lEoHbzIGSdfPoUcZn4EMM_mnUGK6zIQ%3D&xkcb=SoBA67M3DIsGH_WJRB0LbzkdCdPP&fccid=2cc3912cd723549b&cmp=Scopo-Consultoria&ti=Analista+De+Desenvolvimento+Sistemas&vjs=3
"Software Engineer, Early Career",Google,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=c4b20def5432b172&bb=VWM9P-iLiXROInjppabyC3Z4J8C5WOOB9OLnKS3S4fp0pbNkw1W2OrWkMqZ5s30YQADgE4rEeG5eVMSjKpJlfebNUl2yDlbMqEKLokxcaUY%3D&xkcb=SoD067M3DIsGH_WJRB0KbzkdCdPP&fccid=a5b4499d9e91a5c6&vjs=3
Desenvolvedor Python,Grupo LPJ,"Home office in Belo Horizonte, MG",https://br.indeed.com/rc/clk?jk=673d971751ec4bf4&bb=VWM9P-iLiXROInjppabyC-eTHKSAVBFAk-eui9b1Kz-OND7V_cNvWhxnZjmmO8rP5z3ljih_L_0uxIVCgH6YKEydTyy2sQfW266n6BhXhZ4%3D&xkcb=SoBp67M3DIsGH_WJRB0JbzkdCdPP&fccid=99e6f33a32f966a3&vjs=3
[MGI] Desenvolvedor Pleno - Python,First Decision,,https://br.indeed.com/rc/clk?jk=fbaf2d350c46b2c5&bb=VWM9P-iLiXROInjppabyC2FYI3vr-ypxUzIVTloWTfTVfnWTEk0VmOVL6YO0Lc_WaXDzHlSOVEcyoy1A1T8kiSjijbS8Y52rAoyLWU5q2pQ%3D&xkcb=SoDd67M3DIsGH_WJRB0IbzkdCdPP&fccid=79b0e004e2699bee&vjs=3
Analista de Dados/ Python #153,Formel D,"Camaçari, BA",https://br.indeed.com/rc/clk?jk=2de01c7c6f6e75b1&bb=VWM9P-iLiXROInjppabyCzC-vSgGSHp9FH7Aj1MUIJ6r9BvEb2Fs49n4IYQBMMqfEJ0_2XtNtTCu3gnetdHFEaV9IQwEG-k_GWpBfMFEKyQ%3D&xkcb=SoBT67M3DIsGH_WJRB0PbzkdCdPP&fccid=e0da41e66c23a58b&vjs=3
