Cargo,Empresa,Local,Link
Python Developer - Remote Work,BairesDev,"Home office in Brasília, DF",https://br.indeed.com/rc/clk?jk=3bff248ee1394f6b&bb=eiK-7fToXlHF3_0toBWS9EZR26nyDwHe3hMpnqo4wEmQS69Vckdq03D8rwNmg_bGgo2r10l2NDRS1mgv8ioGXWnjQ_8PBW9gNZ8nsd7EkCs%3D&xkcb=SoBE67M3DIsD9XRSah0BbzkdCdPP&fccid=29707109e86166e5&vjs=3
Estágio em Desenvolvimento de Software,Radix Engenharia e Software,,https://br.indeed.com/rc/clk?jk=af5f99100ec26476&bb=eiK-7fToXlHF3_0toBWS9MtFCqVP5JXJu7rPzcQtZSutGwljO7jhp6hwZ2SaSnDmX3rvjjwwlsCD3D4nzcBGGkDKg4sOACuO05G-qs0v82U%3D&xkcb=SoDw67M3DIsD9XRSah0AbzkdCdPP&fccid=833e800ebc6f3f29&vjs=3
Estagiário de Desenvolvimento de Sistemas,Transaction Network Services,"João Pessoa, PB",https://br.indeed.com/rc/clk?jk=ffde32d68c1cc406&bb=eiK-7fToXlHF3_0toBWS9ApqX1ppv16s2A16qsHLXbRV_9Nu7pXpyI6PUs5KfMIrZC_iTuzqYfL6yOQpWBbi4T7olValPb8IvYq257AXCto%3D&xkcb=SoB-67M3DIsD9XRSah0HbzkdCdPP&fccid=dcce7a0c9a34f673&vjs=3
ESTÁGIO - Desenvolvimento Python,ONE ASSESSORIA EMPRESARIAL LTDA.,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=2835ef2637436278&bb=eiK-7fToXlHF3_0toBWS9NNGYR2z1LTQ_zbnjJosdAft7SBg_bsCvKnJYWsaRZUKHSOzoxsV6su1fYebr0xKEQLFCTn96b84p6vKdKNHbPQ%3D&xkcb=SoDK67M3DIsD9XRSah0GbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
Estagiário de TI,PIBERNAT LOGÍSTICA,"Canoas, RS",https://br.indeed.com/rc/clk?jk=cd6130a42b9bb61d&bb=eiK-7fToXlHF3_0toBWS9BD-l_DIKEzYSpUWOSDfpK9RGwTifF7p6WN4IUdcX5YVkfUZiTHd67u5c4bFGnnSO6WoywHJRPpZFzO5otqEK9w%3D&xkcb=SoBX67M3DIsD9XRSah0FbzkdCdPP&fccid=a68d53817c772a5f&vjs=3
Desenvolvedor Python Senior,TO BRASIL,"Home office in Rio de Janeiro, RJ",https://br.indeed.com/rc/clk?jk=d2f809c21ed78986&bb=FmNHelH6a6HgN89BsCYCXdAneX142KnW8UncjsTb4Qr8Q9_uJNvWfwODOwtB-zkGx8gPvE65rFSCNLFpIYToJchIS4HLvv71Nmk5t6N2Vqc%3D&xkcb=SoAi67M3DIsCgoQiCB0LbzkdCdPP&fccid=25da27c28c9aa5c7&vjs=3
Analista de Automação de Teste - PLENO PYTHON **Híbrida SP**,Prime Control,"Home office in São Paulo, SP",https://br.indeed.com/rc/clk?jk=0dbb164d206ee305&bb=FmNHelH6a6HgN89BsCYCXZhIX0pdBfdUaWtUyfUT10wfJx98GlhXenEvX3EZxb4pnzsNQnEJXeyAVVdN0tf2wM7l6Nv6Rnh8sO_JxNq6Dv4%3D&xkcb=SoCW67M3DIsCgoQiCB0KbzkdCdPP&fccid=26dabeb3b5e63829&vjs=3
Desenvolvedor backend pleno - python/django,Netvagas,,https://br.indeed.com/rc/clk?jk=b64e82e1db25bebb&bb=FmNHelH6a6HgN89BsCYCXYtkV_LKZO1qW9TgIVhE66Co9mVormTtxFKah5dc7boVOyejCEIgfLzLgCWJgR7sX9sJEVldXqdnsgJNl9XZjpU%3D&xkcb=SoAL67M3DIsCgoQiCB0JbzkdCdPP&fccid=248e71f02a698bfc&vjs=3
Desenvolvedor RPA Python,Mobiis,"Campinas, SP",https://br.indeed.com/rc/clk?jk=39edfbf8f56c9ea4&bb=FmNHelH6a6HgN89BsCYCXRYQXOlD6Rz1p3h04s-9jcH2zFOLO6sP9UHQgCOrLPfYIDpZ6eh2gr6j_8L47G8ffM3Ny_CJ294RWznk8tY9TmY%3D&xkcb=SoC_67M3DIsCgoQiCB0IbzkdCdPP&fccid=96a8e9c969888b1e&vjs=3
RINGA-4945625/24-1 - DESENVOLVEDOR BACK END PYTHON JUNIOR,Elemento RH,"Home office in São Paulo, SP",https://br.indeed.com/rc/clk?jk=7573e640a94639be&bb=FmNHelH6a6HgN89BsCYCXXxUOjyhDri1ghrlQDA6T4EbNuAyYBpk-6PlR2DqZ9nQ3G8h6uOglfz0mRfwnTbugr1pw22X6FPzNGcpThovRgg%3D&xkcb=SoAx67M3DIsCgoQiCB0PbzkdCdPP&fccid=0803299a25b221e3&vjs=3
Desenvolvedor Python Pleno,Bnex,"São José do Rio Preto, SP",https://br.indeed.com/rc/clk?jk=78a0772b6669711c&bb=FmNHelH6a6HgN89BsCYCXTAKJQjjbWKG66bvPaLZXesCwHRMaOqdO0xR7MVN_Tqmmn9IEOh6oVCHYZJYfpqYlVNXAi36J58Ki7dQBy8gi2s%3D&xkcb=SoCF67M3DIsCgoQiCB0ObzkdCdPP&fccid=3e13cc1f08433acf&vjs=3
Desenvolvedor Python Senior,PISOMTECH DESENVOLVIMENTO E CONSULTORIA EM...,"Home office in Uberlândia, MG",https://br.indeed.com/rc/clk?jk=2217d2f54417e929&bb=FmNHelH6a6HgN89BsCYCXQddfwZJRqUvWLNGBXMrpqMijhQIBURz4ICg2EZhnkQNB_Uh2RKhKwnnQ6YQBuCQ8ki0VmvLwxDb0C12yQuyBoQ%3D&xkcb=SoAY67M3DIsCgoQiCB0NbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
Work From Home Junior Python Backend Developer / Research + Development,BairesDev,"Home office in Campinas, SP",https://br.indeed.com/rc/clk?jk=8586b53f00b05b8e&bb=FmNHelH6a6HgN89BsCYCXSKudLzvqKsMDzCnGygRESoWCj6EC5JhKnq1kU8IlwVjwBuJAsFiKEnYoVOy0XnGAQ5g9mrBHpVBfgbarwWQ7yc%3D&xkcb=SoCs67M3DIsCgoQiCB0MbzkdCdPP&fccid=29707109e86166e5&vjs=3
Técnico em Informática Jr,Jobbol,"João Pessoa, PB",https://br.indeed.com/rc/clk?jk=e5d402860b7675ce&bb=FmNHelH6a6HgN89BsCYCXUbnjE0j9rQf03pi4do7hEzLkjcDmzt5fC97u0bPdoqdrnwqqo-u7SKl97SdBEOT8DcMMf5YabsjS0ohb9-LwkQ%3D&xkcb=SoBF67M3DIsCgoQiCB0DbzkdCdPP&fccid=c64032edc49f7500&vjs=3
Pessoa Desenvolvedora de Dados Python Pleno/Sênior,Datum TI,,https://br.indeed.com/rc/clk?jk=ad767991f690b8e5&bb=FmNHelH6a6HgN89BsCYCXee7fVXAVP3c9Yw4G4jNXG0u5mokqMu9Ibi19JELepicVOSpn8csqX47FxOV4d_7HT77k0-WiIMs3tvwP7wfsDk%3D&xkcb=SoDx67M3DIsCgoQiCB0CbzkdCdPP&fccid=e267f08170cab296&vjs=3
Estagiário de ti | grupo telles,Netvagas,"Fortaleza, AP",https://br.indeed.com/rc/clk?jk=2406bc7620b43216&bb=FmNHelH6a6HgN89BsCYCXZcCRND46y9IvEFi0RMWWsQ6foUMp4CtPJLADmw0K70RUgNa0ZWhwGsu1t2I2RY-8hgiT9zzGattv-3dZJRh-cY%3D&xkcb=SoBs67M3DIsCgoQiCB0BbzkdCdPP&fccid=248e71f02a698bfc&vjs=3
QA Engineer,Fusemachines,,https://br.indeed.com/rc/clk?jk=efc4023563cfadab&bb=FmNHelH6a6HgN89BsCYCXf4U6Ko7zc6ouKo8UNbGUvTUMBdrnZt0OFqmHrBDIuf5-IQDu-lzzmLIfSmTiuwlC7wnHXThLTuJLAYcbLkGbtY%3D&xkcb=SoDY67M3DIsCgoQiCB0AbzkdCdPP&fccid=b711a2a28448b767&vjs=3
Desenvolvedor Python,LLIÈGE,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=beaa5ab05b337bac&bb=FmNHelH6a6HgN89BsCYCXQevXdPWfn5zeiVUG3kYzoxgBUg5vdn16DYuI6Bld9g0VK8UW4-K2qsp8GX2bqejY48MnsxW777nXOc6-_fDFHs%3D&xkcb=SoBW67M3DIsCgoQiCB0HbzkdCdPP&fccid=a6f0938b0c4f96c6&vjs=3
Pessoa Desenvolvedora Backend,Bild Desenvolvimento Imobiliário,,https://br.indeed.com/rc/clk?jk=ed4fc3e6a38563bb&bb=FmNHelH6a6HgN89BsCYCXaFy8EQ89xMOmV1MlIFhzlIsJtRAAzLbuHTot6tny-ERU5scfCkBV5HrW0xjfF3oGEV1fblMjeaAIgzDIQRz_yY%3D&xkcb=SoDi67M3DIsCgoQiCB0GbzkdCdPP&fccid=031362d948698b1a&vjs=3
CIENTISTA DE DADOS PLENO (100% REMOTO),ClearSale,,https://br.indeed.com/rc/clk?jk=c0cc0283e5951d1d&bb=FmNHelH6a6HgN89BsCYCXXA-JZiiA-LR8G2AraD67vwCAsWm9rmGrLpOacvSnQ3WOp852ev9Kcu_TpsIK4NISave1fDzukv5U1gFjSq3xfA%3D&xkcb=SoB_67M3DIsCgoQiCB0FbzkdCdPP&fccid=590dd23f44dbe686&vjs=3
Desenvolvedor junior,Netvagas,,https://br.indeed.com/rc/clk?jk=7b66363244734969&bb=J6Fc1Y93jV34LkrT2qIpZLG2yAQU4pZR8QDj0FKckDPc2B1JSo_toMd_2lvZHstoUKXe5fqClzzdFDjODJKb5cqL3v0keuricBdrS5UEzdc%3D&xkcb=SoBA67M3DIsBf62aih0LbzkdCdPP&fccid=248e71f02a698bfc&vjs=3
Pessoa Desenvolvedora de Dados Python Pleno/Sênior,Datum TI,,https://br.indeed.com/rc/clk?jk=ad767991f690b8e5&bb=J6Fc1Y93jV34LkrT2qIpZK1xdB113ILpagmdSE-ckCycuz-Ee93gzNShZrz1H3bR4yxekR4YOdl9ni7kVu1QMXNprKfi1EwcsmvUotEH3Wc%3D&xkcb=SoD067M3DIsBf62aih0KbzkdCdPP&fccid=e267f08170cab296&vjs=3
Estagiário de ti | grupo telles,Netvagas,"Fortaleza, AP",https://br.indeed.com/rc/clk?jk=2406bc7620b43216&bb=J6Fc1Y93jV34LkrT2qIpZCYJhOLP10kQcZbS6ZkgQwTsbgdndYi9rqWrXRlADQP9nM3aCC1D2MdAkLa-_RHDh7Fjz9G9KDWzPHpWBtAX4fc%3D&xkcb=SoBp67M3DIsBf62aih0JbzkdCdPP&fccid=248e71f02a698bfc&vjs=3
QA Engineer,Fusemachines,,https://br.indeed.com/rc/clk?jk=efc4023563cfadab&bb=J6Fc1Y93jV34LkrT2qIpZAwsATzazQjuT0jXUnqzQcB0TRS4Recy1BBY9Marrtlf23GRW3TAf3wQS1gtHK_fKYycZM5l1vg7VcmhR1DVXEM%3D&xkcb=SoDd67M3DIsBf62aih0IbzkdCdPP&fccid=b711a2a28448b767&vjs=3
CIENTISTA DE DADOS PLENO (100% REMOTO),ClearSale,,https://br.indeed.com/rc/clk?jk=c0cc0283e5951d1d&bb=J6Fc1Y93jV34LkrT2qIpZOBY_1UtRhasgW5LObXpQMODAQn1kze5C4-jDTW0auLvZ95feN_WHlANNffptWaXNYtLg2dLX8WhwFUSJewqpGE%3D&xkcb=SoBT67M3DIsBf62aih0PbzkdCdPP&fccid=590dd23f44dbe686&vjs=3
Desenvolvedor Python,LLIÈGE,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=beaa5ab05b337bac&bb=J6Fc1Y93jV34LkrT2qIpZIv6Yg-5OqDclwmqWZv33FDw6WwLMRh66dxkKBMuWDDOssmagbRkb7bLBubQWT6JgBXCbDIf_KEwzvTfMukZSO0%3D&xkcb=SoDn67M3DIsBf62aih0ObzkdCdPP&fccid=a6f0938b0c4f96c6&vjs=3
Pessoa Desenvolvedora Backend,Bild Desenvolvimento Imobiliário,,https://br.indeed.com/rc/clk?jk=ed4fc3e6a38563bb&bb=J6Fc1Y93jV34LkrT2qIpZFlT8sK6stNP8JtIZH_byhcUxzYiRPkBGjYoEsB51SDgaHWFGYIvYlqSF0RNncS7dPlNSbT0OTVC0damN4P06mo%3D&xkcb=SoB667M3DIsBf62aih0NbzkdCdPP&fccid=031362d948698b1a&vjs=3
Desenvolvedor Full Stack Python,Bravi,"Home office in São Paulo, SP",https://br.indeed.com/rc/clk?jk=efda8a3e12e66dbe&bb=J6Fc1Y93jV34LkrT2qIpZF5dkBFQKScoZpwr4vTSOpI6dqEAYW6HhXrwfScljar01OQyddU8a6Im1vJMi1Htfl9AaNs2j-k1S-mbKtl1rms%3D&xkcb=SoDO67M3DIsBf62aih0MbzkdCdPP&fccid=cd7e66bacfe8b75f&vjs=3
Senior Python Developer,Bluelight Consulting,"Home office in Goiânia, GO",https://br.indeed.com/rc/clk?jk=353c5418c75cf54a&bb=J6Fc1Y93jV34LkrT2qIpZCxpT9VU1h72Xr3jqZ0EoKPd14TQEBIkcje8NCXaqwJXBOQ5AHe3eRG_dgLDltOIG_tGZgyrvZ57n2P0RAcCsSs%3D&xkcb=SoAn67M3DIsBf62aih0DbzkdCdPP&fccid=a8bcbb5ebbd3ed25&vjs=3
DESENVOLVEDOR DE SISTEMAS JR ( PJ ),AVINE COMERCIAL E AVÍCOLA DO NORDESTE LTDA,"Fortaleza, CE",https://br.indeed.com/rc/clk?jk=c75d652f0dc3d9f6&bb=J6Fc1Y93jV34LkrT2qIpZJ_H7uqjqdl_1Gvqatm3FwlT599heZDiLzs0w3JbUqVVEWPzvCd4eTRSQwVKv-tu7vvpdcIe-2u4dPvz6xQlXhw%3D&xkcb=SoCT67M3DIsBf62aih0CbzkdCdPP&fccid=62786551c44912ca&cmp=AVINE-COMERCIAL-E-AV%25C3%258DCOLA-DO-NORDESTE&ti=Desenvolvedor+De+Sistemas&vjs=3
Desenvolvedor Python - Trabalho Remoto,BairesDev,"Home office in Duque de Caxias, RJ",https://br.indeed.com/rc/clk?jk=d08490f84b34c926&bb=J6Fc1Y93jV34LkrT2qIpZB5kxzMDRy_DX-sCPTKbvvMnLg-emHs0I0E6_sN9ID089cCxLCWCdb2pPlc4Zj3G2l46Bx-ovICfYsPPXTSjsPA%3D&xkcb=SoAO67M3DIsBf62aih0BbzkdCdPP&fccid=29707109e86166e5&vjs=3
"Security Analyst, Detection",Google,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=6f5a877a72894145&bb=J6Fc1Y93jV34LkrT2qIpZLTkxO0roKZQ2-ZOzdOke9hKDbjwIoupMtjbDoW5AmwBJGWZaNL9Wqw6NQNWD5MPCMUJwNRLZeid00TQmC6XoMs%3D&xkcb=SoC667M3DIsBf62aih0AbzkdCdPP&fccid=a5b4499d9e91a5c6&vjs=3
Desenvolvedor Python Junior - Presencial em Campo Grande/MS,ALFANEO SERVIÇOS E TECNOLOGIA LTDA,"Campo Grande, MS",https://br.indeed.com/rc/clk?jk=8610530c446348fd&bb=J6Fc1Y93jV34LkrT2qIpZKZSRcqb1LzwTdqdillNQVyhCvgiL4Dx-22jVkyvC8aQZiRkIyRjsplFvxClfFAzRwUJ61tqk36UGiAjOcMsiCI%3D&xkcb=SoA067M3DIsBf62aih0HbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
Junior Backend Engineer,Optibus,,https://br.indeed.com/rc/clk?jk=81b0b02158f310e8&bb=J6Fc1Y93jV34LkrT2qIpZIIMw8oxhn4klqByrS3I1eqjfyg5J0UYfiTLKZvT3zoSH49c0n5jiaagme20js5wciMKAbEdChAjRGQPWxgyDcY%3D&xkcb=SoCA67M3DIsBf62aih0GbzkdCdPP&fccid=8b9649bd05732480&vjs=3
Pessoa desenvolvedora python - pleno (remoto) - 27658 - 6801515,Netvagas,,https://br.indeed.com/rc/clk?jk=f31364f0d169dbda&bb=J6Fc1Y93jV34LkrT2qIpZK1xdB113ILpSMS2s_kCqjeOGxkYOMe7JRfgECgbkbVkKWAhWYU7Tys0h6YUOvZaIcrztjlSV1AeHsNEFRKRUXw%3D&xkcb=SoAd67M3DIsBf62aih0FbzkdCdPP&fccid=248e71f02a698bfc&vjs=3
Tech Lead Sr - Full Remoto (Python/Java/Dados),Iterative,"Home office in São Paulo, SP",https://br.indeed.com/rc/clk?jk=5c52c82d7de04f44&bb=rLZYFrrwtlagJzjKoe1dpDayGTd2EKZJ9y5ghX1K-KCl_4xRaUJaIxBRv7_S0BjB9vRvQM6c6SxVKhONMo3xmHv8BsXPJ6_AYCRlIMSfNJM%3D&xkcb=SoBN67M3DIsf2LRSah0LbzkdCdPP&fccid=c795cb63f9115981&vjs=3
Backend Python Developer,Oowlish,"Home office in Fortaleza, CE",https://br.indeed.com/rc/clk?jk=5a561a4e2e32d583&bb=rLZYFrrwtlagJzjKoe1dpBpbB-s8FonO2ihEEYb-zvWNM64oigw6d-uizsRty6qiPG1ldbrOOf8UOtnuhDSvwHOoKBEAWl-8KRx3K0tXY-Y%3D&xkcb=SoD567M3DIsf2LRSah0KbzkdCdPP&fccid=0271e2481fb4cba7&vjs=3
Analista de Observabilidade (Remoto),Plus-IT Consulting,"Home office in Barra Mansa, RJ",https://br.indeed.com/rc/clk?jk=0189b1890cdda541&bb=rLZYFrrwtlagJzjKoe1dpOMiKZNITkt8ATumu4uTMhyZvRdeywWfIUEfRAFxa8OWoIq9EFPZtRmWlvB4qsD4r9q0jfTXm4XYPVpGVUabCC4%3D&xkcb=SoBk67M3DIsf2LRSah0JbzkdCdPP&fccid=18029a0d1b99cbb7&vjs=3
Analista de Suporte ao Cliente,Mindsight BR,"Home office in São Paulo, SP",https://br.indeed.com/rc/clk?jk=feece09fc2fdd74c&bb=rLZYFrrwtlagJzjKoe1dpCh4Ek_OzirCotE0sX6ZkBhrc4796C89VoJ5izKcfsVTf53zi-wjSHIde-jTDV4viarmNmsWT6mSGfof-WZCsgU%3D&xkcb=SoDQ67M3DIsf2LRSah0IbzkdCdPP&fccid=e1dc47ab7b04aa94&vjs=3
CIENTISTA DE DADOS,Engesoftware,"Brasília, DF",https://br.indeed.com/rc/clk?jk=4297d344c5d6c22c&bb=rLZYFrrwtlagJzjKoe1dpAM2fRR3dh4g-q5ESZgwZaUrFt61YWso7utng27iV1ETSEK81H7_JSP_83OgJ47NZsCBCEn-JxPhmuc9TtzvT0g%3D&xkcb=SoBe67M3DIsf2LRSah0PbzkdCdPP&fccid=4e8e328d7d5719dd&cmp=ENGESOFTWARE&ti=Cientista+De+Dados&vjs=3
Estágio em tecnologia,Netvagas,,https://br.indeed.com/rc/clk?jk=3e1e9994938e6cfa&bb=rLZYFrrwtlagJzjKoe1dpFPXLyd5zXzYebh-FjKphbMM_6FcyAmNF3uW8cnpqje_Sa-2RJpednyvp0hn_RKtDEIzDK71oa8G2CJeFdGKD_Q%3D&xkcb=SoDq67M3DIsf2LRSah0ObzkdCdPP&fccid=248e71f02a698bfc&vjs=3
Analista de Dados Júnior,Jornada Quest,"Jundiaí, SP",https://br.indeed.com/rc/clk?jk=04a956bdf4d46704&bb=rLZYFrrwtlagJzjKoe1dpBqt-BNhB1cAEHRHItq-rhDlIcr8WMVbDg1BgzxBybP2VNE113Adp69LfxbQAXWvz48ctF6UMzfc0K0Bn92NZik%3D&xkcb=SoB367M3DIsf2LRSah0NbzkdCdPP&fccid=98c8d8371eb1d38d&vjs=3
Desenvolvedor(a) Backend Sr - Python,Solfácil,,https://br.indeed.com/rc/clk?jk=0046b08e0282c0fc&bb=rLZYFrrwtlagJzjKoe1dpFjwAqhto9tPLA9VW3-5UNQuLMyBop0ZbzCNf8keqz2g54Q4oR2zqOQNuKWg_6wdQ7IF8o_pINUHiLlhN0N2LQA%3D&xkcb=SoDD67M3DIsf2LRSah0MbzkdCdPP&fccid=20a47d495e75ebd9&vjs=3
Project Analyst - Chatbot (Remote),Carreira Involves,,https://br.indeed.com/rc/clk?jk=2a990d9aa6df6c8f&bb=rLZYFrrwtlagJzjKoe1dpCE5nMqe64Peb4j1TCqp1DjD_GVPVY5wJLz9EnyiJEQGUuIY8XoEgVL_b85qY9Xn0m9WVKRWP3L44-q_JgLeZtg%3D&xkcb=SoAq67M3DIsf2LRSah0DbzkdCdPP&fccid=7da0dab2d251b633&vjs=3
Desenvolvedores,EY,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=d2895273bf897131&bb=rLZYFrrwtlagJzjKoe1dpIg2uk7SWzTduHhZq0ItFaD0kSR7CUwA48aP93NodHPQDTy6WJXu3NGduIDaBPDpncRR0RmYVZbDt-MTGbnVinE%3D&xkcb=SoCe67M3DIsf2LRSah0CbzkdCdPP&fccid=1544766d4c2915b0&vjs=3
Desenvolver (a) Python - Scraper,Shopee,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=159bf350bb3d7813&bb=rLZYFrrwtlagJzjKoe1dpGxc-QxUWIRvg1S1tPyB9nNF5AC0uweMKDX6PdJYZs4Tuz1tu8nUUVxboMQ2n0YU5OT4Fj1WXFQqzpQwu8PC5m8%3D&xkcb=SoAD67M3DIsf2LRSah0BbzkdCdPP&fccid=0b476c4a7add47fe&vjs=3
Data Engineer AWS Python,Fusemachines,,https://br.indeed.com/rc/clk?jk=2aedf846b632b810&bb=rLZYFrrwtlagJzjKoe1dpNBhHx6T5Z3e-xaybmWUDlhy1tQYZufyB9AKYrMsrFbhRG9i5gtXsHJrsJVWsYftYpVRSHSDegPSwhrpNga_czs%3D&xkcb=SoC367M3DIsf2LRSah0AbzkdCdPP&fccid=b711a2a28448b767&vjs=3
Junior Data Analyst,Gazeus,"Home office in Rio de Janeiro, RJ",https://br.indeed.com/rc/clk?jk=ad14d4c5258a0460&bb=rLZYFrrwtlagJzjKoe1dpO80P4WK1LG5n5xJLGv6fPPYf4K_6BRWUwWc38-R1rlVmzZiiNfryt7RHLoQPx1yBlkW1rGPo0tmoHwv443_loU%3D&xkcb=SoA567M3DIsf2LRSah0HbzkdCdPP&fccid=ca7d48769b8a5eee&vjs=3
Consultor Junior de dados socioeconômicos,NMC PROJETOS E CONSULTORIA LTDA,"Remoto híbrido in Belo Horizonte, MG",https://br.indeed.com/rc/clk?jk=fc15d18d2db2351a&bb=rLZYFrrwtlagJzjKoe1dpFjwAqhto9tPrtV9hFk-xVg983xGW5WtmDQsYc5CU3YxUjA-VK2AnmiTl6z8chsZgjz9b4h6WiExYsqvjs2Zo1I%3D&xkcb=SoCN67M3DIsf2LRSah0GbzkdCdPP&fccid=788a1d119c3eedd8&cmp=NMC-PROJETOS-E-CONSULTORIA-LTDA&ti=Economista&vjs=3
Software Engineer Specialist,CIAL Dun & Bradstreet,"Home office in São Paulo, SP",https://br.indeed.com/rc/clk?jk=be0e6d0f34b0f1a0&bb=rLZYFrrwtlagJzjKoe1dpBQtcYa_v7dosEi_IuAQ4ajSZtQMjwNGecYjooGy6G6c_0076oLYNGewJklSWk_fhLZ31bE0J8HqYPkdZK8tqUo%3D&xkcb=SoAQ67M3DIsf2LRSah0FbzkdCdPP&fccid=8228de18d47365fd&vjs=3
Data Engineer AWS Python,Fusemachines,,https://br.indeed.com/rc/clk?jk=2aedf846b632b810&bb=pzimnk7WS_k8X28a3GcwSAtEHEvhhcwuNHjvzsCLeVBHg_HPQQQGKJXjfzlHoiorNvjfBHgw_Wdt8LTzPPp_rIIvu8g_MXyzGJqZnmMQuRE%3D&xkcb=SoAk67M3DIsdX8WxNp0KbzkdCdPP&fccid=b711a2a28448b767&vjs=3
Software Engineer Specialist,CIAL Dun & Bradstreet,"Home office in São Paulo, SP",https://br.indeed.com/rc/clk?jk=be0e6d0f34b0f1a0&bb=pzimnk7WS_k8X28a3GcwSIdwl3_ReDfdYZloEouea5nWP5HIZX5l4MWUSatnzWsqMHy0ybQU7O_iZw5M82SfZ-KgJtzokyIIjsd4OC-rWLw%3D&xkcb=SoC567M3DIsdX8WxNp0JbzkdCdPP&fccid=8228de18d47365fd&vjs=3
Junior Data Analyst,Gazeus,"Home office in Rio de Janeiro, RJ",https://br.indeed.com/rc/clk?jk=ad14d4c5258a0460&bb=pzimnk7WS_k8X28a3GcwSIHAReZ01SGOQhb18g5LpbMZqe50maAn7L7aT2ALnov3DEcUOfqvEozdBMvb08qnc21qXEEFQWp-IGb_ZFBJRFw%3D&xkcb=SoAN67M3DIsdX8WxNp0IbzkdCdPP&fccid=ca7d48769b8a5eee&vjs=3
Consultor Junior de dados socioeconômicos,NMC PROJETOS E CONSULTORIA LTDA,"Remoto híbrido in Belo Horizonte, MG",https://br.indeed.com/rc/clk?jk=fc15d18d2db2351a&bb=pzimnk7WS_k8X28a3GcwSG75rjmizuVOdXUFFru7JbtCIwZgGBjgk_yDQ71ZIWaIDZb66LmTPvLGToRKoXjGUoGq5cJOWT1uSpm7oB9sqSk%3D&xkcb=SoCD67M3DIsdX8WxNp0PbzkdCdPP&fccid=788a1d119c3eedd8&cmp=NMC-PROJETOS-E-CONSULTORIA-LTDA&ti=Economista&vjs=3
Grupo Lins Ferrão | Desenvolvedor Backend Python SR,GRUPO LINS FERRAO,"Porto Alegre, RS",https://br.indeed.com/rc/clk?jk=7bdd061a676a8853&bb=pzimnk7WS_k8X28a3GcwSLqZlA56PeDFP1TZPHxVqfc06vlfjU3KRPxCOIQ88_ztbz3e8xMk94IiWAjdLTflaj3Iz95PHQ45lvXCS5zaaO4%3D&xkcb=SoA367M3DIsdX8WxNp0ObzkdCdPP&fccid=797e0509d2457b1d&vjs=3
Analista junior de desenvolvimento de sistemas - goiânia/go - staff,Netvagas,,https://br.indeed.com/rc/clk?jk=f166c59df4e49810&bb=pzimnk7WS_k8X28a3GcwSHSrMHIv_k-pd8kRPNQF-DdLllH9edN8IW0324_RF7i-J8BtwreKXfeglC3pilUA6vk_fI5xIdddHso0nY-2YrE%3D&xkcb=SoCq67M3DIsdX8WxNp0NbzkdCdPP&fccid=248e71f02a698bfc&vjs=3
Analista de Power BI,SP MARKET ADMINISTRACAO E SERVICOS LTDA,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=6f36d4e2235061a6&bb=pzimnk7WS_k8X28a3GcwSFiAKM8IrtJ9mKDDsqlafG1V_nCGHQGGHsOXRRfO1x3_wyjdJWzouO8c3cn6Q7i6MDoFS441GxayuiU8G0qHLrM%3D&xkcb=SoAe67M3DIsdX8WxNp0MbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
Desenvolvedor Python Sênior,PLAND TECNOLOGIA LTDA,"Home office in São Paulo, SP",https://br.indeed.com/rc/clk?jk=4a33ab0cc67b14d3&bb=pzimnk7WS_k8X28a3GcwSG3OzIqttskTHXqFXI5ZMeTz-LI7vE3a8YDUenJh69YdOPaHZIgRx_y5ObPtY4oKEXs0bwMQojbDFglGNxhys-4%3D&xkcb=SoD367M3DIsdX8WxNp0DbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
Analista de Dados,MANPOWER STAFFING. (Matriz),"São Paulo, SP",https://br.indeed.com/rc/clk?jk=4a3407be77749528&bb=pzimnk7WS_k8X28a3GcwSFc2EVRkPvyCBKNaw1nC8UuIVedpEa0jrbzilyqHCKAYRHE_oC0BgH_7qiYcxRGubR2P07w-XAGXzVRR_GpQ4ks%3D&xkcb=SoBD67M3DIsdX8WxNp0CbzkdCdPP&fccid=d3a583195b1bd825&vjs=3
Estágio Data Base,NewFields Brasil,"Home office in Barra da Tijuca, RJ",https://br.indeed.com/rc/clk?jk=24e33c292290c8ce&bb=pzimnk7WS_k8X28a3GcwSG0A4TeXOiwl0oO05Hlb_yJlP70ZHLTispjqfF0xKMUkQPQ7Hbt036IgboLw62mWY2vOPPCBLTVhjFB5u41jJ2s%3D&xkcb=SoDe67M3DIsdX8WxNp0BbzkdCdPP&fccid=9a5871da62dafc1a&cmp=NewFields-Brasil&ti=Administrador+De+Banco+De+Dados&vjs=3
